,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres
429177,1645,586,5,974979937,F,18,9,62225,Home Alone (1990),Children's|Comedy
772773,1317,3040,4,975216358,M,45,7,98028,Meatballs (1979),Comedy
812829,214,3429,5,976900509,M,18,20,80218,Creature Comforts (1990),Animation|Comedy
448680,840,2657,5,996098510,F,25,3,02828,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi
296261,3679,1517,4,966447243,M,25,4,68108,Austin Powers: International Man of Mystery (1997),Comedy
992188,4062,3183,4,965480665,M,25,7,60559,"Third Miracle, The (1999)",Drama
92382,4042,1293,4,965510640,M,35,15,94002,Gandhi (1982),Drama
852979,5508,2772,4,959723722,M,25,20,94519,Detroit Rock City (1999),Comedy
636140,5643,2912,4,958890841,F,35,1,84108,"Limey, The (1999)",Action|Crime|Drama
421287,1317,1320,4,974780131,M,45,7,98028,Alien³ (1992),Action|Horror|Sci-Fi|Thriller
314842,2043,2908,3,974666127,M,25,14,37931,Boys Don't Cry (1999),Drama
779969,3618,432,3,966863084,M,56,17,22657,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
313478,5165,497,4,961904697,M,35,6,91103,Much Ado About Nothing (1993),Comedy|Romance
102919,1879,589,5,974695614,M,25,4,29732,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
646293,1117,2455,3,976591658,M,18,14,10017,"Fly, The (1986)",Horror|Sci-Fi
5744,5501,2355,5,959795643,M,25,2,33334,"Bug's Life, A (1998)",Animation|Children's|Comedy
560394,5019,2076,2,986271881,M,25,7,10025,Blue Velvet (1986),Drama|Mystery
562162,3679,1288,5,980533317,M,25,4,68108,This Is Spinal Tap (1984),Comedy|Drama|Musical
337971,476,1007,4,976222527,M,35,0,55127,"Apple Dumpling Gang, The (1975)",Children's|Comedy|Western
409937,2742,1148,4,973220262,M,25,17,36092,"Wrong Trousers, The (1993)",Animation|Comedy
718226,4472,849,4,965064758,F,45,16,14424,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
867040,2656,909,4,973527811,M,56,13,32837,"Apartment, The (1960)",Comedy|Drama
714187,429,3896,1,976257749,M,18,0,54901,"Way of the Gun, The (2000)",Crime|Thriller
707820,3067,3053,4,970000812,F,25,0,02148,"Messenger: The Story of Joan of Arc, The (1999)",Drama|War
324165,1451,2406,3,974763838,M,35,20,90012,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
524350,5468,3174,4,959897890,M,25,12,94618,Man on the Moon (1999),Comedy|Drama
930296,4153,700,3,965341949,M,50,17,16801,Angus (1995),Comedy
867317,3029,697,3,972846074,M,18,4,92037,Feeling Minnesota (1996),Drama|Romance
382095,3423,3481,5,967360582,M,25,7,84088,High Fidelity (2000),Comedy
273484,1555,3386,3,974743243,F,18,0,20008,JFK (1991),Drama|Mystery
276027,5643,176,4,963720449,F,35,1,84108,Living in Oblivion (1995),Comedy
238038,3389,2058,2,967515526,M,18,0,13603,"Negotiator, The (1998)",Action|Thriller
454705,2507,750,5,974079093,M,25,4,94107,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
338898,5629,1947,5,965417249,M,25,14,02465,West Side Story (1961),Musical|Romance
151214,1186,235,3,974851155,M,18,19,98502,Ed Wood (1994),Comedy|Drama
857350,5692,3555,4,958596694,F,25,7,29615,U-571 (2000),Action|Thriller
853222,2833,3157,4,972586441,M,25,15,85003,Stuart Little (1999),Children's|Comedy
862862,569,107,4,976238340,F,18,4,97339,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
386475,5559,2324,5,959376791,M,50,1,77706,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
796750,5100,3730,5,962361787,M,50,6,193122042,"Conversation, The (1974)",Drama|Mystery
891328,1882,3307,5,974694366,M,35,16,92352,City Lights (1931),Comedy|Drama|Romance
705276,5448,1219,4,959964387,M,45,19,60626,Psycho (1960),Horror|Thriller
912273,1263,3238,1,974921134,M,1,10,81301,Eye of the Beholder (1999),Thriller
492513,5765,1967,3,958180551,M,25,11,44515,Labyrinth (1986),Adventure|Children's|Fantasy
716511,4335,2671,4,965418981,M,35,0,74011,Notting Hill (1999),Comedy|Romance
296825,493,1089,4,976215078,M,50,7,55016,Reservoir Dogs (1992),Crime|Thriller
643069,409,3827,4,976288910,M,18,12,55122,Space Cowboys (2000),Action|Sci-Fi
940089,4704,2048,2,963545737,M,18,20,02601,"Great Mouse Detective, The (1986)",Animation|Children's
116265,4213,3699,4,965841487,M,35,7,63125,Starman (1984),Adventure|Drama|Romance|Sci-Fi
211243,2435,1136,5,974225176,M,25,4,22903,Monty Python and the Holy Grail (1974),Comedy
949786,1626,1992,1,974721822,M,18,4,10010,Child's Play 2 (1990),Horror
375050,2666,3252,4,973447922,M,45,16,63128,Scent of a Woman (1992),Drama
457647,4064,2662,3,965476406,M,45,0,20851,"War of the Worlds, The (1953)",Action|Sci-Fi|War
920415,4277,82,4,967622905,M,35,16,98133,Antonia's Line (Antonia) (1995),Drama
426548,3143,1256,2,968989444,F,50,16,90272,Duck Soup (1933),Comedy|War
282331,3223,2599,5,968440947,M,25,20,10014,Election (1999),Comedy
542033,5321,2968,1,960864158,M,25,4,02457,Time Bandits (1981),Adventure|Fantasy|Sci-Fi
172605,1918,2006,2,974690094,F,45,6,95209,"Mask of Zorro, The (1998)",Action|Adventure|Romance
772389,5643,3543,5,958889214,F,35,1,84108,Diner (1982),Comedy|Drama
378355,1717,14,4,1009257004,F,50,6,30307,Nixon (1995),Drama
315493,3504,1966,4,967478181,M,18,7,02215,Metropolitan (1990),Comedy
252505,5124,52,3,962200504,M,35,2,20818,Mighty Aphrodite (1995),Comedy
546519,5266,1230,4,961175957,M,35,1,42718,Annie Hall (1977),Comedy|Romance
767936,4224,236,4,965318547,F,45,1,48198,French Kiss (1995),Comedy|Romance
121891,5471,1265,3,959895400,M,18,7,10016,Groundhog Day (1993),Comedy|Romance
869633,966,2443,3,975116084,M,56,2,92262,Playing by Heart (1998),Drama|Romance
137206,3080,593,5,969810736,M,25,20,55410,"Silence of the Lambs, The (1991)",Drama|Thriller
885700,319,2007,2,976423243,F,50,6,33436,Polish Wedding (1998),Comedy
323184,2726,36,5,973268131,M,45,11,02155,Dead Man Walking (1995),Drama
205408,1004,2470,3,975044021,M,25,3,95136,Crocodile Dundee (1986),Adventure|Comedy
5920,42,1197,4,978040806,M,25,8,24502,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
622036,5098,3516,4,962370966,M,50,7,19380,"Bell, Book and Candle (1958)",Comedy|Romance
168553,3305,780,3,968001672,M,56,20,94708,Independence Day (ID4) (1996),Action|Sci-Fi|War
569015,271,441,5,976635149,M,18,4,48202,Dazed and Confused (1993),Comedy
596564,4227,748,3,965314380,M,25,19,11414-2520,"Arrival, The (1996)",Action|Sci-Fi|Thriller
375999,3226,111,5,968434975,M,35,4,10027,Taxi Driver (1976),Drama|Thriller
914545,5100,3015,4,962407895,M,50,6,193122042,Coma (1978),Thriller
379345,1165,2600,4,976584225,M,25,12,45014,eXistenZ (1999),Action|Sci-Fi|Thriller
637048,3821,293,4,974760485,M,25,20,44313,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
567195,1980,2335,3,974774203,M,35,7,06460,"Waterboy, The (1998)",Comedy
518684,4815,898,5,962929582,F,50,18,04849,"Philadelphia Story, The (1940)",Comedy|Romance
175993,2124,1968,5,974648352,M,25,0,12306,"Breakfast Club, The (1985)",Comedy|Drama
975080,3546,854,3,968011574,M,25,20,41706,"Ballad of Narayama, The (Narayama Bushiko) (1958)",Drama
260777,5820,2716,3,957905047,M,45,0,43615,Ghostbusters (1984),Comedy|Horror
380192,4072,555,5,965452958,M,50,6,93111,True Romance (1993),Action|Crime|Romance
139026,4781,2359,5,982445957,F,50,6,04086,Waking Ned Devine (1998),Comedy
205751,3473,2470,3,967556192,F,35,16,02472,Crocodile Dundee (1986),Adventure|Comedy
589500,3344,2243,4,967776364,M,35,0,08902,Broadcast News (1987),Comedy|Drama|Romance
321033,4539,34,1,964683199,M,35,19,01054,Babe (1995),Children's|Comedy|Drama
347789,3430,1674,4,967344364,F,45,1,15208,Witness (1985),Drama|Romance|Thriller
438958,3312,2640,3,976671609,F,18,4,90039,Superman (1978),Action|Adventure|Sci-Fi
630945,1786,1284,5,975388007,M,45,1,85721,"Big Sleep, The (1946)",Film-Noir|Mystery
57443,1554,608,5,974741333,F,35,12,17013,Fargo (1996),Crime|Drama|Thriller
914082,5567,1401,4,959347483,M,50,3,78704,Ghosts of Mississippi (1996),Drama
248299,3192,6,5,968644217,M,18,4,02912,Heat (1995),Action|Crime|Thriller
57970,2838,608,5,972571123,M,18,1,95864,Fargo (1996),Crime|Drama|Thriller
559572,3240,231,5,968350952,M,18,4,55403,Dumb & Dumber (1994),Comedy
665720,5367,1876,1,960500329,M,18,4,55344,Deep Impact (1998),Action|Drama|Sci-Fi|Thriller
948545,5220,2736,3,961542282,M,25,7,91436,Brighton Beach Memoirs (1986),Comedy
921663,5082,3007,4,962406788,M,35,1,23185,American Movie (1999),Documentary
30235,3718,1097,2,966263231,M,50,17,07728,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
146665,2529,3735,3,974058317,F,35,9,95903,Serpico (1973),Crime|Drama
309308,602,24,2,975878249,F,56,6,14612,Powder (1995),Drama|Sci-Fi
691921,3507,2064,4,967333329,M,25,0,02472,Roger & Me (1989),Comedy|Documentary
240339,3111,2700,3,969480429,M,18,4,56520,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy
234089,5369,1759,5,960489863,M,25,15,02139,Four Days in September (1997),Drama
279430,3494,2734,4,967038119,M,25,1,28607,"Mosquito Coast, The (1986)",Drama
321997,2340,357,5,974423444,M,35,2,48104,Four Weddings and a Funeral (1994),Comedy|Romance
19997,4430,3105,2,965101956,F,25,0,94403,Awakenings (1990),Drama
874491,163,836,1,977219961,M,18,4,85013,Chain Reaction (1996),Action|Adventure|Thriller
267779,1589,2291,4,974735743,M,25,0,95136,Edward Scissorhands (1990),Drama|Romance
45892,1065,2692,5,974947327,F,25,0,94402,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
362024,5303,58,5,960950925,F,56,6,45504,"Postino, Il (The Postman) (1994)",Drama|Romance
720240,3945,2263,2,965693883,F,45,1,96778,"Seventh Sign, The (1988)",Thriller
796833,473,955,5,976222851,F,18,4,55112,Bringing Up Baby (1938),Comedy
705173,4945,1219,4,962641841,M,50,0,62234,Psycho (1960),Horror|Thriller
478365,340,918,4,976341025,F,25,3,28001,Meet Me in St. Louis (1944),Musical
319839,236,34,3,976765152,M,25,5,55126,Babe (1995),Children's|Comedy|Drama
504116,463,520,1,976228799,M,25,7,55105,Robin Hood: Men in Tights (1993),Comedy
325197,65,1101,5,986615213,M,35,12,55803,Top Gun (1986),Action|Romance
528622,1306,2012,4,975267889,M,25,3,64068,Back to the Future Part III (1990),Comedy|Sci-Fi|Western
989490,846,2095,4,984455442,M,25,5,80209,"Shaggy D.A., The (1976)",Children's|Comedy
210742,403,1136,5,976304285,M,18,4,02138,Monty Python and the Holy Grail (1974),Comedy
148512,4965,1597,3,962612378,M,1,10,63123-1507,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller
327530,690,364,4,975584137,M,25,12,90717,"Lion King, The (1994)",Animation|Children's|Musical
765875,1030,1833,3,975000686,M,25,7,97303,Mercury Rising (1998),Action|Drama|Thriller
547769,1938,2033,3,974694633,F,25,2,91351,"Black Cauldron, The (1985)",Animation|Children's
802105,5046,1785,5,962505086,M,25,16,60614,King of New York (1990),Action|Crime
921719,229,3115,3,1039503763,M,18,10,04576,Flawless (1999),Drama
244667,3789,1617,5,966020346,F,25,0,94110,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
97122,2372,110,4,974675977,F,45,7,01602,Braveheart (1995),Action|Drama|War
843650,3233,1172,4,975471808,M,50,2,60660,Cinema Paradiso (1988),Comedy|Drama|Romance
867319,3135,697,4,969068514,M,25,15,12345,Feeling Minnesota (1996),Drama|Romance
206043,5249,2470,2,961604492,F,45,14,75006,Crocodile Dundee (1986),Adventure|Comedy
962516,5107,3371,4,962337647,F,45,0,08081,Bound for Glory (1976),Drama
852300,3331,1620,4,967855527,F,25,7,06854,Kiss the Girls (1997),Crime|Drama|Thriller
361174,5539,4,3,1021774941,F,25,20,91403,Waiting to Exhale (1995),Comedy|Drama
235569,949,3793,4,975140899,M,50,17,96753,X-Men (2000),Action|Sci-Fi
833844,678,2471,3,988638331,M,25,0,34952,Crocodile Dundee II (1988),Adventure|Comedy
885946,61,3617,3,977902949,M,25,17,95122,Road Trip (2000),Comedy
280466,5728,2013,4,958466817,F,35,20,09824,"Poseidon Adventure, The (1972)",Action|Adventure
890683,2776,1627,5,973056705,M,25,14,22205,U Turn (1997),Action|Crime|Mystery
593893,4435,2707,3,965097973,M,25,7,76904,Arlington Road (1999),Thriller
106950,4745,1873,1,963249297,F,18,4,06268,"Misérables, Les (1998)",Drama
891700,2155,2517,4,974618750,F,1,10,50246,Christine (1983),Horror
738856,5747,903,4,958357076,M,25,0,03755,Vertigo (1958),Mystery|Thriller
611419,3579,70,2,966710587,M,18,0,32219,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
159967,157,457,4,977247494,M,35,16,12866,"Fugitive, The (1993)",Action|Thriller
953588,4832,2745,4,962999924,M,25,14,17857,"Mission, The (1986)",Drama
577513,5109,1262,5,962334143,F,45,6,19802,"Great Escape, The (1963)",Adventure|War
290163,187,3476,4,977233859,F,45,1,94061,Jacob's Ladder (1990),Horror|Mystery|Thriller
269878,1679,2723,5,974709549,M,25,12,98052,Mystery Men (1999),Action|Adventure|Comedy
565873,569,2907,1,976238484,F,18,4,97339,Superstar (1999),Comedy
79636,2761,434,3,973148365,M,35,6,80917,Cliffhanger (1993),Action|Adventure|Crime
520494,27,2948,4,978128995,M,25,11,19130,From Russia with Love (1963),Action
581153,4333,3070,5,965242854,M,50,2,33134,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi
732795,2643,2202,4,973563853,M,45,17,99005,Lifeboat (1944),Drama|Thriller|War
736657,1181,2726,2,974946253,M,35,7,20716,"Killing, The (1956)",Crime|Film-Noir
350697,4018,1573,3,965527191,F,45,20,75214,Face/Off (1997),Action|Sci-Fi|Thriller
716824,702,910,5,975563065,M,35,7,90808,Some Like It Hot (1959),Comedy|Crime
756694,5359,175,3,960603337,M,18,16,27705,Kids (1995),Drama
734785,2164,2642,2,974614282,M,35,0,95826,Superman III (1983),Action|Adventure|Sci-Fi
412923,5353,1584,4,960616905,M,25,6,77030,Contact (1997),Drama|Sci-Fi
256895,1641,2428,3,974714087,M,25,0,95819,"Faculty, The (1998)",Horror|Sci-Fi
131707,2148,1552,4,974622082,F,18,0,81301,Con Air (1997),Action|Adventure|Thriller
94012,3766,3255,4,966081180,F,18,1,45458,"League of Their Own, A (1992)",Comedy|Drama
921946,2912,2505,1,971789291,F,18,4,48104,8MM (1999),Thriller
608659,2810,1619,5,1018233229,F,1,10,64093,Seven Years in Tibet (1997),Drama|War
236966,2105,509,4,974667624,M,25,1,24060,"Piano, The (1993)",Drama|Romance
386156,3675,2324,4,966364871,M,35,7,06680,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
300115,5319,3409,4,960866687,M,18,17,94941,Final Destination (2000),Drama|Thriller
52853,1315,2028,5,974779109,M,35,7,75214,Saving Private Ryan (1998),Action|Drama|War
375018,2359,3252,4,974379541,M,56,13,13685,Scent of a Woman (1992),Drama
895911,2077,3478,3,979974296,M,18,0,55112,"Bamba, La (1987)",Drama
545602,1161,1230,5,974862955,M,25,0,10025,Annie Hall (1977),Comedy|Romance
824957,1796,2926,3,974699641,M,50,11,20852,Hairspray (1988),Comedy|Drama
880461,1010,2827,1,1013805669,M,25,0,10310,"Astronaut's Wife, The (1999)",Sci-Fi|Thriller
373063,1880,3173,2,974692637,M,35,0,91006,Any Given Sunday (1999),Drama
414931,5199,3623,2,961651825,F,25,1,35243,Mission: Impossible 2 (2000),Action|Thriller
744019,3217,1388,3,968778823,F,35,0,92630,Jaws 2 (1978),Action|Horror
945475,3716,1167,2,966266736,M,18,12,36115,Dear God (1996),Comedy
146249,5547,2396,5,959477326,F,18,4,10025,Shakespeare in Love (1998),Comedy|Romance
899922,4085,448,3,986184816,F,25,6,79416,Fearless (1993),Drama
425420,588,1254,5,975956092,F,25,11,23220,"Treasure of the Sierra Madre, The (1948)",Adventure
60282,945,1357,3,975162285,M,45,7,49345,Shine (1996),Drama|Romance
63285,695,648,3,975560524,F,18,1,04240,Mission: Impossible (1996),Action|Adventure|Mystery
507766,1988,3097,4,974855973,F,25,1,85224,"Shop Around the Corner, The (1940)",Comedy|Romance
814178,229,1680,3,976822817,M,18,10,04576,Sliding Doors (1998),Drama|Romance
43976,1218,1961,4,975601358,M,56,15,13207,Rain Man (1988),Drama
335138,1572,3753,5,974738075,F,25,3,02155,"Patriot, The (2000)",Action|Drama|War
673178,5905,1391,5,957377620,F,35,20,78006,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War
582001,3029,1479,3,972845547,M,18,4,92037,"Saint, The (1997)",Action|Romance|Thriller
121312,3908,1265,5,965757109,M,25,0,10021,Groundhog Day (1993),Comedy|Romance
294445,657,1513,4,975695042,F,50,13,34691,Romy and Michele's High School Reunion (1997),Comedy
564648,5394,2598,3,980666982,M,18,0,60618,Pushing Tin (1999),Comedy
760632,2661,468,4,973462617,M,56,13,19312,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance
984380,3031,3042,2,970410727,M,18,4,48135,Meatballs III (1987),Comedy
645333,3321,2527,3,967918836,M,35,1,95380,Westworld (1973),Action|Sci-Fi|Thriller|Western
174701,3913,318,5,965766371,M,18,17,40207,"Shawshank Redemption, The (1994)",Drama
482946,1134,923,5,974881898,M,18,20,19114,Citizen Kane (1941),Drama
115966,2088,3699,3,974655358,M,50,7,60618,Starman (1984),Adventure|Drama|Romance|Sci-Fi
176474,3946,1968,4,965766425,F,25,12,22207,"Breakfast Club, The (1985)",Comedy|Drama
901012,173,1211,5,995304420,M,25,0,45237,Wings of Desire (Der Himmel über Berlin) (1987),Comedy|Drama|Romance
690693,3207,1407,3,968556106,M,35,7,60610,Scream (1996),Horror|Thriller
774304,3111,413,2,969480899,M,18,4,56520,Airheads (1994),Comedy
478800,5361,1012,4,960521046,F,50,16,92026,Old Yeller (1957),Children's|Drama
652134,3607,2985,4,971915635,M,35,17,32506,Robocop (1987),Action|Crime|Sci-Fi
210889,945,1136,4,975161224,M,45,7,49345,Monty Python and the Holy Grail (1974),Comedy
439579,130,592,5,977432108,M,35,17,50021,Batman (1989),Action|Adventure|Crime|Drama
514429,651,2005,3,975706623,M,35,7,20895,"Goonies, The (1985)",Adventure|Children's|Fantasy
601135,3988,1883,4,965708015,F,25,14,60647,Bulworth (1998),Comedy
1088,3912,1193,5,965754686,M,25,4,19104,One Flew Over the Cuckoo's Nest (1975),Drama
372694,4235,3246,5,965311494,M,50,2,90029,Malcolm X (1992),Drama
285404,5250,2959,5,961356312,M,50,6,01545,Fight Club (1999),Drama
957461,4771,1354,3,985546728,F,25,4,04101,Breaking the Waves (1996),Drama
214437,2022,1214,5,976818010,M,25,7,60137,Alien (1979),Action|Horror|Sci-Fi|Thriller
193064,2492,1291,3,974123837,F,45,2,37924,Indiana Jones and the Last Crusade (1989),Action|Adventure
563837,3767,3101,3,966080256,M,25,0,94305,Fatal Attraction (1987),Thriller
340693,4624,17,4,964713648,M,25,12,84062,Sense and Sensibility (1995),Drama|Romance
763870,1366,217,2,974769992,M,1,10,89509,"Babysitter, The (1995)",Drama|Thriller
960777,2774,3392,1,973098547,M,25,1,92103,She-Devil (1989),Comedy
334003,2529,2802,3,974056577,F,35,9,95903,Tequila Sunrise (1988),Action|Romance|Thriller
711857,2153,3450,5,974624595,M,18,16,97405,Grumpy Old Men (1993),Comedy
53888,3673,2028,5,966454186,M,25,2,10003,Saving Private Ryan (1998),Action|Drama|War
835622,50,3512,3,977961187,F,25,2,98133,Return to Me (2000),Drama|Romance
608359,4417,2273,5,965136480,M,25,15,02135,Rush Hour (1998),Action|Thriller
873731,1113,599,3,980901153,M,18,4,97215,"Wild Bunch, The (1969)",Western
153596,235,21,4,977100785,M,25,0,98153,Get Shorty (1995),Action|Comedy|Drama
191162,3334,2997,3,967844051,M,35,0,09142,Being John Malkovich (1999),Comedy
30378,4083,1097,5,965458473,M,56,14,92630,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
633960,5916,198,3,957460424,M,50,20,48230,Strange Days (1995),Action|Crime|Sci-Fi
700403,5576,1994,1,959290690,M,25,4,55369,Poltergeist (1982),Horror|Thriller
232439,1207,866,2,974911829,M,50,0,43617,Bound (1996),Crime|Drama|Romance|Thriller
824314,3493,2921,4,967039806,M,25,17,61350,High Plains Drifter (1972),Western
587013,3701,1263,5,966377903,M,35,1,92614,"Deer Hunter, The (1978)",Drama|War
290153,79,3476,5,977805731,F,45,0,98103,Jacob's Ladder (1990),Horror|Mystery|Thriller
739412,687,11,4,975692259,F,25,7,14136,"American President, The (1995)",Comedy|Drama|Romance
584142,788,2528,4,975429313,M,25,0,37601,Logan's Run (1976),Action|Adventure|Sci-Fi
728287,3562,1222,4,966787371,F,25,6,32812,Full Metal Jacket (1987),Action|Drama|War
836316,4843,1419,4,962847127,M,56,1,04032,Walkabout (1971),Drama
760195,6021,2352,5,956757422,M,25,12,08876,"Big Chill, The (1983)",Comedy|Drama
560222,3503,2076,5,1010617127,M,18,4,59715,Blue Velvet (1986),Drama|Mystery
346665,2371,1380,5,974338066,F,35,7,06082,Grease (1978),Comedy|Musical|Romance
759800,3471,2352,3,973141457,M,18,4,80302,"Big Chill, The (1983)",Comedy|Drama
849378,1753,3697,1,974703428,M,35,6,90803,Predator 2 (1990),Action|Sci-Fi|Thriller
465884,2496,1292,4,974091949,M,50,1,37932,Being There (1979),Comedy
607101,3312,500,2,976671108,F,18,4,90039,Mrs. Doubtfire (1993),Comedy
180752,2513,3893,4,974071518,M,56,1,37922,Nurse Betty (2000),Comedy|Thriller
747979,5483,45,5,959888366,F,25,6,15202,To Die For (1995),Comedy|Drama
173958,1971,318,5,974685215,F,25,14,80230,"Shawshank Redemption, The (1994)",Drama
722891,4134,2413,2,965350086,F,45,12,85283,Clue (1985),Comedy|Mystery
552660,3591,208,3,966646527,M,35,6,96158,Waterworld (1995),Action|Adventure
275063,5088,968,5,962391421,M,25,17,38111,Night of the Living Dead (1968),Horror|Sci-Fi
399509,3825,1343,4,965940032,M,18,1,06279,Cape Fear (1991),Thriller
242447,4362,296,5,965188091,M,25,17,85016,Pulp Fiction (1994),Crime|Drama
307471,5627,2759,4,959040218,M,25,0,07040,Dick (1999),Comedy
586726,1216,1263,4,974840429,M,25,2,90292,"Deer Hunter, The (1978)",Drama|War
577029,1071,1262,5,975008425,M,50,16,13045,"Great Escape, The (1963)",Adventure|War
339336,5344,2966,5,960672033,F,50,1,98177,"Straight Story, The (1999)",Drama
451094,5632,316,4,959014958,F,18,4,78628,Stargate (1994),Action|Adventure|Sci-Fi
363292,1793,1840,4,974758580,M,25,4,20008,He Got Game (1998),Drama
147253,2062,1953,4,974659952,M,18,4,44646,"French Connection, The (1971)",Action|Crime|Drama|Thriller
972768,4450,2656,3,965087419,M,25,15,60611,Tarantula (1955),Horror|Sci-Fi
947415,749,3942,3,975920066,M,35,18,56303,Sorority House Massacre II (1990),Horror
302012,2812,2390,4,972700779,M,25,17,60607,Little Voice (1998),Comedy
624352,3475,2761,1,1015737514,M,25,14,33133,"Iron Giant, The (1999)",Animation|Children's
372774,5256,3246,3,971964961,M,25,16,30269,Malcolm X (1992),Drama
116222,4015,3699,3,965531496,F,45,3,75605,Starman (1984),Adventure|Drama|Romance|Sci-Fi
568954,5786,440,4,958267671,M,25,6,53211,Dave (1993),Comedy|Romance
935821,2651,3384,3,973537563,M,56,14,11779,"Taking of Pelham One Two Three, The (1974)",Action
438255,5472,1269,3,959900306,M,35,1,27909,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller
111329,4081,1225,5,965440229,M,18,12,19403,Amadeus (1984),Drama
813598,2012,3159,5,974675414,M,25,4,49456,Fantasia 2000 (1999),Animation|Children's|Musical
230594,3121,288,5,969332993,M,25,2,32118,Natural Born Killers (1994),Action|Thriller
833167,2772,2379,4,973227908,M,35,17,10025,Police Academy 2: Their First Assignment (1985),Comedy
289786,3142,1729,4,968988605,M,25,20,85719,Jackie Brown (1997),Crime|Drama
